pubmed	journal	percents	sentence.number	observed.dps	observed.sfs	ideal.dps	range.diff	diff	correct
28742797	PLoS medicine	0	11	0	0	1	100	-1	0
28742797	PLoS medicine	60	11	0	2	0	100	0	1
28742797	PLoS medicine	100	11	0	3	0	100	0	1
28742797	PLoS medicine	0	12	0	0	1	90	-1	0
28742797	PLoS medicine	10	12	0	2	0	90	0	1
28742797	PLoS medicine	90	12	0	2	0	90	0	1
28742160	PloS one	78.8	10	1	3	0	76.8	1	0
28742160	PloS one	19.2	10	1	3	0	76.8	1	0
28742160	PloS one	2	10	0	1	1	76.8	-1	0
28742160	PloS one	55.6	11	1	3	0	46.1	1	0
28742160	PloS one	34.9	11	1	3	0	46.1	1	0
28742160	PloS one	9.5	11	1	2	1	46.1	0	1
28742155	PloS one	0.01	3	2	1	2	Inf	0	1
28742154	PloS one	80	5	0	2	0	Inf	0	1
28742150	PloS one	1.1	7	1	2	1	0.0999999999999999	0	1
28742150	PloS one	1.2	7	1	2	1	0.0999999999999999	0	1
28742149	PloS one	2.6	5	1	2	1	23.9	0	1
28742149	PloS one	1.4	6	1	2	1	8.5	0	1
28742149	PloS one	0.7	6	1	1	1	8.5	0	1
28742149	PloS one	2.3	6	1	2	1	8.5	0	1
28742149	PloS one	5.5	6	1	2	1	8.5	0	1
28742149	PloS one	2.8	6	1	2	1	8.5	0	1
28742149	PloS one	9.2	6	1	2	1	8.5	0	1
28742149	PloS one	2	6	1	2	1	8.5	0	1
28742149	PloS one	1.3	6	1	2	1	8.5	0	1
28742149	PloS one	2.8	6	1	2	1	8.5	0	1
28742149	PloS one	5.2	6	1	2	1	8.5	0	1
28742149	PloS one	3	6	1	2	1	8.5	0	1
28742149	PloS one	8.9	6	1	2	1	8.5	0	1
28742149	PloS one	6.7	7	1	2	1	12.8	0	1
28742149	PloS one	3.6	7	1	2	1	12.8	0	1
28742149	PloS one	13.5	7	1	3	0	12.8	1	0
28742149	PloS one	1.4	7	1	2	1	12.8	0	1
28742149	PloS one	0.7	7	1	1	1	12.8	0	1
