type	journal	pubmed
Journal Article	F1000Research	29527295
Journal Article	F1000Research	29527294
Journal Article	F1000Research	29527293
Journal Article	F1000Research	29527292
Journal Article	F1000Research	29527291
Journal Article	F1000Research	29527290
Journal Article	F1000Research	29527289
Journal Article	F1000Research	29527288
Journal Article	F1000Research	29511530
Journal Article	F1000Research	29511529
Journal Article	F1000Research	29333250
Journal Article	F1000Research	28928948
Journal Article	F1000Research	29263780
Journal Article	F1000Research	29497493
Journal Article	F1000Research	29487740
Journal Article	F1000Research	29487738
Journal Article	F1000Research	29167739
Journal Article	F1000Research	29487739
Journal Article	F1000Research	29479423
Journal Article	F1000Research	29479422
Journal Article	F1000Research	29225776
Journal Article	F1000Research	29445449
Journal Article	F1000Research	29445448
Journal Article	F1000Research	29375810
c("Journal Article", "Review")	F1000Research	29259763
Journal Article	F1000Research	29416851
Journal Article	F1000Research	29416850
Journal Article	F1000Research	29416849
Journal Article	F1000Research	29399325
c("Journal Article", "Review")	F1000Research	29399324
c("Journal Article", "Review")	F1000Research	29399323
Journal Article	F1000Research	29399322
Journal Article	F1000Research	29399321
Journal Article	F1000Research	29375811
Journal Article	F1000Research	29259773
Journal Article	F1000Research	29259772
Journal Article	F1000Research	29375816
Journal Article	F1000Research	29375812
c("Journal Article", "Review")	F1000Research	29375809
Journal Article	F1000Research	29375817
Journal Article	F1000Research	29375815
Journal Article	F1000Research	29375814
Journal Article	F1000Research	29333239
Journal Article	F1000Research	29333245
Journal Article	F1000Research	29333244
Journal Article	F1000Research	29333243
Journal Article	F1000Research	29333242
Journal Article	F1000Research	29333241
Journal Article	F1000Research	29333240
Journal Article	F1000Research	29333237
Journal Article	F1000Research	29333236
Journal Article	F1000Research	29333235
Journal Article	F1000Research	29333234
Journal Article	F1000Research	29333233
c("Journal Article", "Review")	F1000Research	29333262
c("Journal Article", "Review")	F1000Research	29333261
c("Journal Article", "Review")	F1000Research	29333260
c("Journal Article", "Review")	F1000Research	29333259
c("Journal Article", "Review")	F1000Research	29333258
c("Journal Article", "Review")	F1000Research	29333257
