type	journal	pubmed
Journal Article	The Lancet. Planetary health	29430569
Journal Article	The Lancet. Public health	29422189
Journal Article	The Lancet. Public health	29422186
Journal Article	The Lancet. Oncology	29413754
Journal Article	The Lancet. Respiratory medicine	29413644
Journal Article	The Lancet. Neurology	29413313
Journal Article	The Lancet. Neurology	29413312
Journal Article	The Lancet. Neurology	29413311
Journal Article	The Lancet. Neurology	29413310
Journal Article	Lancet (London, England)	29413036
Journal Article	Lancet (London, England)	29407038
Journal Article	Lancet (London, England)	29407037
Journal Article	The Lancet. Planetary health	29387833
Journal Article	Environmental health perspectives	29373862
Journal Article	Environmental health perspectives	29373861
Journal Article	Environmental health perspectives	29373859
Journal Article	The Lancet. Planetary health	29308453
Journal Article	The Lancet. Public health	29307390
Journal Article	The Lancet. Public health	29307389
Journal Article	The Lancet. Public health	29307388
Journal Article	The Lancet. Public health	29307387
Journal Article	The Lancet. Public health	29307386
Journal Article	The Lancet. Public health	29307385
Journal Article	The Lancet. Public health	29307384
Journal Article	The Lancet. Public health	29307383
Journal Article	The Lancet. Infectious diseases	29303741
Journal Article	The Lancet. Infectious diseases	29303740
Journal Article	The Lancet. Infectious diseases	29303739
Journal Article	The Lancet. Infectious diseases	29303738
Journal Article	The Lancet. Infectious diseases	29303737
Journal Article	The Lancet. Infectious diseases	29303735
Journal Article	The Lancet. Infectious diseases	29303732
Journal Article	The Lancet. Infectious diseases	29303731
Journal Article	The Lancet. Infectious diseases	29303730
Journal Article	The Lancet. Infectious diseases	29303729
Journal Article	The Lancet. Infectious diseases	29303728
Journal Article	The Lancet. Infectious diseases	29303727
Journal Article	The Medical journal of Australia	29297649
Journal Article	BMJ open	29289943
Journal Article	BMJ open	29289942
Journal Article	BMJ open	29289941
Journal Article	BMJ open	29289940
Journal Article	BMJ open	29289939
Journal Article	BMJ open	29289938
Journal Article	BMJ open	29289937
Journal Article	BMJ open	29289936
Journal Article	BMJ open	29289935
Journal Article	BMJ open	29289934
Journal Article	BMJ open	29289933
Journal Article	BMJ open	29288191
Journal Article	BMJ open	29288190
Journal Article	BMJ open	29288189
Journal Article	BMJ open	29288188
Journal Article	BMJ open	29288187
Journal Article	BMJ open	29288186
Journal Article	BMJ open	29288185
Journal Article	BMJ open	29288184
Journal Article	BMJ open	29288183
Journal Article	BMJ open	29288182
Journal Article	BMJ open	29288181
Journal Article	BMJ open	29288180
Journal Article	BMJ open	29288179
Journal Article	BMJ open	29288178
Journal Article	BMJ open	29288177
Journal Article	BMJ open	29288176
Journal Article	BMJ open	29288175
Journal Article	BMJ open	29288174
Journal Article	BMJ open	29288173
Journal Article	BMJ open	29288172
Journal Article	BMJ open	29288171
Journal Article	BMJ (Clinical research ed.)	29288150
Journal Article	BMJ open	29284722
Journal Article	BMJ open	29284721
Journal Article	BMJ open	29284720
Journal Article	BMJ open	29284719
Journal Article	BMJ open	29284718
Journal Article	BMJ open	29284717
Journal Article	BMJ open	29284716
Journal Article	BMJ open	29284715
Journal Article	BMJ open	29284714
Journal Article	BMJ open	29284713
Journal Article	BMJ open	29284712
Journal Article	BMJ (Clinical research ed.)	29284666
Journal Article	BMJ open	29282274
Journal Article	BMJ open	29282273
Journal Article	BMJ open	29282272
Journal Article	BMJ open	29282271
Journal Article	BMJ open	29282270
Journal Article	BMJ open	29282269
Journal Article	BMJ open	29282268
Journal Article	BMJ open	29282267
Journal Article	BMJ open	29282266
Journal Article	BMJ open	29282265
Journal Article	BMJ open	29282264
Journal Article	BMJ open	29282263
Journal Article	BMJ open	29282262
Journal Article	BMJ open	29282261
Journal Article	BMJ open	29282260
Journal Article	BMJ open	29282259
Journal Article	BMJ open	29282258
Journal Article	BMJ open	29282257
Journal Article	BMJ open	29282256
Journal Article	BMJ open	29282255
Journal Article	The New England journal of medicine	29281582
Journal Article	The New England journal of medicine	29281579
c("Journal Article", "Review")	The New England journal of medicine	29281578
Journal Article	The New England journal of medicine	29281577
Journal Article	The New England journal of medicine	29281575
Journal Article	The New England journal of medicine	29281574
Journal Article	The New England journal of medicine	29281504
Journal Article	JAMA	29279942
Journal Article	JAMA	29279941
Journal Article	JAMA	29279937
Journal Article	JAMA	29279935
c("Journal Article", "Meta-Analysis", "Review")	JAMA	29279934
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	JAMA	29279933
Journal Article	JAMA	29279932
Journal Article	JAMA	29279931
Journal Article	JAMA	29279930
Journal Article	JAMA	29279929
Journal Article	JAMA	29279928
Journal Article	JAMA	29279927
Journal Article	JAMA	29279926
Journal Article	JAMA	29279917
Journal Article	JAMA	29279914
Journal Article	JAMA	29279913
Journal Article	JAMA	29279912
Journal Article	JAMA	29279911
Journal Article	The Lancet. Planetary health	29276803
Journal Article	The Lancet. Infectious diseases	29276051
Journal Article	The Lancet. Infectious diseases	29276050
Journal Article	The Lancet. Oncology	29276025
Journal Article	The Lancet. Oncology	29276024
Journal Article	The Lancet. Oncology	29276023
Journal Article	The Lancet. Oncology	29276022
Journal Article	The Lancet. Oncology	29276021
Journal Article	The Lancet. Oncology	29276020
Journal Article	The Lancet. Public health	29276017
Journal Article	The Lancet. Public health	29276016
Journal Article	The Lancet. Neurology	29275980
Journal Article	The Lancet. Neurology	29275979
Journal Article	The Lancet. Neurology	29275978
c("Journal Article", "Review")	The Lancet. Neurology	29275977
Journal Article	BMJ open	29275351
Journal Article	BMJ open	29275350
Journal Article	BMJ open	29275349
Journal Article	BMJ open	29275348
Journal Article	BMJ open	29275347
Journal Article	BMJ open	29275346
Journal Article	BMJ open	29275345
Journal Article	BMJ open	29275344
Journal Article	BMJ open	29275343
Journal Article	BMJ open	29275342
Journal Article	BMJ open	29275341
Journal Article	BMJ open	29275340
Journal Article	BMJ open	29275339
Journal Article	BMJ open	29275338
Journal Article	BMJ open	29275337
Journal Article	BMJ open	29275336
Journal Article	BMJ open	29275335
Journal Article	The Lancet. Global health	29275136
Journal Article	The Lancet. Global health	29275135
Journal Article	The Lancet. Haematology	29275120
Journal Article	The Lancet. Haematology	29275119
Journal Article	The Lancet. Haematology	29275118
Journal Article	The lancet. Diabetes &amp; endocrinology	29275069
Journal Article	The lancet. Diabetes &amp; endocrinology	29275068
Journal Article	The lancet. Gastroenterology &amp; hepatology	29274986
Journal Article	Lancet (London, England)	29274728
Journal Article	Lancet (London, England)	29274727
Journal Article	The Lancet. Neurology	29274681
Journal Article	The Lancet. Neurology	29274680
Journal Article	BMJ (Clinical research ed.)	29273693
Journal Article	BMJ open	29273671
Journal Article	BMJ open	29273670
Journal Article	BMJ open	29273669
Journal Article	BMJ open	29273668
Journal Article	BMJ open	29273667
Journal Article	BMJ open	29273666
Journal Article	BMJ open	29273665
Journal Article	BMJ open	29273664
Journal Article	BMJ open	29273663
Journal Article	BMJ open	29273662
Journal Article	BMJ open	29273661
Journal Article	BMJ open	29273660
Journal Article	BMJ open	29273659
Journal Article	BMJ open	29273658
Journal Article	BMJ open	29273657
Journal Article	BMJ open	29273656
Journal Article	BMJ open	29273655
Journal Article	BMJ open	29273654
Journal Article	BMJ open	29273653
Journal Article	BMJ open	29273652
Journal Article	BMJ open	29273651
Journal Article	BMJ open	29273650
Journal Article	BMJ open	29273649
Journal Article	BMJ open	29273648
Journal Article	BMJ (Clinical research ed.)	29273586
Journal Article	The Lancet. Respiratory medicine	29273539
Journal Article	The Lancet. Respiratory medicine	29273537
Journal Article	The Lancet. Infectious diseases	29273270
Journal Article	The Lancet. Infectious diseases	29273269
Journal Article	Lancet (London, England)	29273247
c("Journal Article", "Review")	Lancet (London, England)	29273246
Journal Article	Lancet (London, England)	29273245
Journal Article	The Lancet. Neurology	29273185
Journal Article	Environmental health perspectives	29269335
Journal Article	The Lancet. Respiratory medicine	29269004
Journal Article	Lancet (London, England)	29268949
Journal Article	Lancet (London, England)	29268948
c("Journal Article", "Review")	The Lancet. Neurology	29263011
Journal Article	The Lancet. Neurology	29263010
Journal Article	The Lancet. Neurology	29263009
c("Journal Article", "Multicenter Study")	The Lancet. Neurology	29263008
Journal Article	The Lancet. Neurology	29263007
c("Journal Article", "Meta-Analysis")	The Lancet. Neurology	29263006
Journal Article	The Lancet. Neurology	29263005
Journal Article	The Lancet. Neurology	29263004
Journal Article	The Lancet. Neurology	29262999
Journal Article	The Lancet. Neurology	29262998
Journal Article	The Lancet. Neurology	29262997
Journal Article	The Lancet. Neurology	29262996
Journal Article	The Lancet. Neurology	29262995
Journal Article	The Lancet. Neurology	29262994
Journal Article	The Lancet. Neurology	29262993
Journal Article	The Lancet. Neurology	29262992
Journal Article	The Lancet. Neurology	29262991
Journal Article	The New England journal of medicine	29262287
